"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
87;"Mejoramiento Planta de Tratamiento de Aguas Servidas de Curepto";"DIA";"Séptima";"o4";"Nuevosur S.A.";"1,4000";"26/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149741000";"2149741000";NA;NA;NA;"En Calificación";32;0;0;"Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2.500 habitantes";"El presente Proyecto corresponde al mejoramiento de la Planta de Tratamiento de Aguas Servidas (PTAS) de Curepto y tiene como objetivo ampliar la capacidad de la PTAS considerando la demanda proyectada al año 2034, la que se estima en una población servida de 4.894 habitantes. Para ello es necesaria la modificación del Proyecto ""Construcción de Sistema de Tratamiento de Aguas Servidas de Curepto"", calificado favorablemente por medio de la R.E. N° 143 del 16 de Julio del 2002 por la Comisión Regional del Medio Ambiente de la Región del Maule (en adelante, R.E. N° 143/2002). 
Al proyecto original se le realizaron modificaciones asociadas al tratamiento de lodos y mejoras, presentadas a través de una Declaración de Impacto Ambiental y Consulta de Pertinencia de ingreso al SEIA, respectivamente, resueltas mediante los documentos que se indican a continuación.
-        R.E. N° 96/2004 califica ambientalmente favorable “Modificación del Proyecto Construcción Sistema de Tratamiento de Aguas Servidas de Curepto”.
-        Of. Ord. N° 373 indica que mejoras al proyecto Planta de Tratamiento de Aguas Servidas de la comuna de Curepto, no requieren ingresar obligatoriamente al SEIA previa a su ejecución.
Actualmente la Planta de Tratamiento de Aguas Servidas consta de un pretratamiento compacto, seguido de un tratamiento secundario de lodos activados, conformado por un reactor aireado y un sedimentador, con recirculación y purga de lodos, y finalmente una cámara de contacto para la desinfección del efluente. El efluente de la planta se descarga al Estero Lien dando cumplimiento a los límites establecidos en la Tabla Nº1 del D.S. N°90/2000 MINSEGPRES, correspondiente a los límites máximos permitidos para la descarga de residuos líquidos a cuerpos de agua fluviales. Por otra parte, los lodos generados en el sistema, pasan por un proceso de espesado, digestión aeróbica y deshidratado a través de lechos de secado.
Las modificaciones a la PTAS sometidas a evaluación ambiental consisten, principalmente, en aumentar la capacidad de tratamiento del reactor biológico a través de la transformación del actual espesador/digestor de lodos en reactor, el actual sedimentador se transformará en digestor de lodos, para lo cual se construirá un nuevo sedimentador el que contará con una cámara de lodos RAS-WAS y una cámara de espuma. Esta nueva configuración permitirá que el efluente tratado continúe cumpliendo con los límites establecidos en la Tabla N°1 del D.S. N°90/2000 MINSEGPRES.
Como parte del Proyecto, se contempla la modificación en la línea de aguas, asociada a la construcción de una cámara de contacto. En la línea de lodos en tanto, se implementará un espesador dinámico y un sistema de deshidratado del tipo tornillo.
Dentro de las obras complementarias, se encuentra el recambio de tableros eléctricos, se remplaza el grupo generador existente por uno de 150 kVA y se modifica la sala de grupo electrógeno para albergarlo, se modifica el alcantarillado interno, se incorporarán 2 sopladores para el digestor aeróbico, se replantea el camino para vehículos dentro de la planta y se construirá una bodega de residuos peligrosos. Objetivo 
El objetivo del Proyecto es ampliar la capacidad de la Planta de Tratamiento de Aguas Servidas de Curepto, con el objeto de asegurar el tratamiento de las aguas servidas generadas por la población servida, que se estima crecerá al año 2034 a 4.894 habitantes.";"2021"
88;"PISCICULTURA SAN PABLO";"DIA";"Interregional";"n5";"Inversiones Metahue S.A.";"10,0000";"25/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149399777";"2149399777";"https://seia.sea.gob.cl/mapa/info.php?id=2149399777&name=0";-72,995223;-40,386513;"En Calificación";58;0;0;"Producción anual de engorda de peces 8 ton o cultivo de microalgas y/o juveniles de otros recursos hidrobiológicos que requieran el suministro y/o evacuación de aguas de origen continental, marina o estuarina, cualquiera sea su producción anual";"El Proyecto Piscicultura San Pablo consiste en la construcción y operación de un centro de cultivo (Piscicultura) de flujo abierto para una producción máxima anual de 2.622 ton/año de salmónidos a cosecha. El Proyecto considera la implementación de 108 estanques de 350 m3 cada uno, con una capacidad instalada de 37.800 m3, para la crianza de salmónidos desde 3 hasta 250 gramos de peso promedio, con una proyección de generación anual de biomasa de 3.614 ton/año (850 Ton stock + 2.622 ton/año de biomasa a cosecha + 142 ton/año mortalidad proyectada).
Se considera como especies objetivo el grupo de especies salmónidos, principalmente: Salmón del Atlántico (Salmo salar), Trucha Arcoíris (Oncorhynchus mykiss) y Salmón Coho (Oncorhynchus kisutch), en el cual se desarrollarán el cultivo de alevines hasta smolt, en ciclo abierto.
El centro de cultivo será de flujo abierto, requiriendo 10 m3/s de agua (en periodo peak) para mantener los procesos de cultivo. El Proyecto considera el abastecimiento de agua dulce desde un derecho de aprovechamiento de aguas de carácter no consuntivo desde el Río Pilmaiquén otorgado por Res DGA 196/08 por 10.000 lt/seg (10 m3/s).
La captación de agua será a través de una bocatoma de captación lateral emplazada perpendicularmente con respecto al sentido de escurrimiento del río, y fuera del cauce natural de este, por lo que no se considera intervención del lecho ni de la sección de escurrimiento de este.
Además de las estructuras de producción, el Proyecto considera un sistema de tratamiento de riles con rotofiltros y desinfección de efluentes, y silos de mortalidad de uso exclusivo del Proyecto.
El área donde se emplaza el Proyecto corresponde a una plantación de especies exóticas (Eucaliptus nitens) que está en edad de cosecha. Se considera la corta de 5,86 ha de eucaliptus para el despeje del área de emplazamiento del Proyecto. La franja del borde río no será intervenida, manteniendo una franja de 50 m de bosque de eucaliptus que servirá de barrera visual para el Proyecto.
ObjetivoEl Proyecto considera la implementación y operación de un centro de producción anual a cosecha de 2.622 ton/año de salmónidos de 250 gramos de peso promedio (smolt), cultivados en estanques emplazados en un terreno de propiedad privada en tierra.";"2021"
89;"Actualización Planta Procesos Industriales Crowan Uno Ltda.";"DIA";"Quinta";"o9";"Procesos Industriales Crowan Uno Ltda.";"0,1174";"25/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149399468";"2149399468";NA;NA;NA;"En Calificación";41;0;0;"Plantas de tratamiento, disposición y/o eliminación de residuos peligrosos";"El Proyecto consiste en la actualización del proceso existente respecto a las condiciones vigentes de la normativa ambiental, y a la instalación de una nueva máquina purificadora de combustible, ya que la última evaluación corresponde a lo señalado en RCA 97/2005.

Por otra parte, el presente Proyecto consiste en otorgar un nuevo servicio de Gestión y almacenamiento temporal de residuos peligrosos generados por terceros, asimilable a una instalación de transferencia, ya que se ha observado que existe una creciente demanda por parte de empresas de pequeña y mediana escala. Para ello se ampliará el actual Centro de Acopio Temporal (CAT) de residuos peligrosos. ObjetivoActualizar la planta de procesos de acuerdo a la normativa vigente. Por otra parte, incorpora nueva maquinaria complementaria al proceso actual y un nuevo servicio de acopio temporal de residuos recibidos de terceros, asimilable a una instalación de transferencia de bajo volumen de operación. 

Estas modificaciones a la RCA 097/2005 son materia de la descripción del Proyecto de la presente Declaración de Impacto Ambiental. Cabe destacar que no se modifica el proceso de purificación de hidrocarburos ya aprobado en RCA 097/2005, sino que complementa de forma alternativa mejorar la calidad del producto terminado, especialmente para el parámetro cenizas.";"2021"
90;"Parque Solar Fotovoltaico La Gamboína";"DIA";"Sexta";"c";"ORION POWER S.A.";"9,0000";"25/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149741686";"2149741686";NA;NA;NA;"En Calificación";33;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto Parque Solar Fotovoltaico La Gamboína corresponde a un proyecto nuevo, localizado en la Región de O’Higgins, provincia de Cachapoal, comuna de Rancagua.
Consiste en la construcción y operación de un Parque Solar Fotovoltaico que producirá energía mediante la conversión de energía solar en energía eléctrica por medio de 11.984 módulos fotovoltaicos para evacuar la energía generada a una línea de distribución existente de 15 kV.
Para el Proyecto, se considera una vida útil de 30 años. La vida útil del Proyecto se podrá extender en la medida que las condiciones de mercado justifiquen la inversión.Objetivo La realización del proyecto tiene por objetivo la generación de energía eléctrica mediante la captación y transformación de la energía solar, para inyectar una potencia nominal de 6 MW al Sistema Eléctrico Nacional.";"2021"
91;"Proyecto Solar Bellavista de Punitaqui";"DIA";"Cuarta";"c";"PARQUE FOTOVOLTAICO BELLAVISTA DE PUNITAQUI SPA";"297,0000";"25/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149654562";"2149654562";NA;NA;NA;"En Calificación";32;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto Solar Bellavista de Punitaqui, en adelante ""el Proyecto"" consiste en la construcción y posterior operación de un Parque Solar localizado en las comunas de Punitaqui y Ovalle, Provincia de Limarí, Región de Coquimbo. El acceso al Proyecto se realizará desde la Ruta 5 Norte, a través de las rutas D-617, D-635, D-603, D-693 y D-607, con un último tramo de 3,5 km no enrolado; todos estos caminos son existentes. 
El Proyecto considera módulos fotovoltaicos de 5,5 MW y 2,75 MW, con una potencia total instalada de 374 MW. Incluirá un sistema colector en media tensión, una subestación de alta tensión en 220 kV con su respectivo edificio de control, servicios auxiliares y sistema de energía de respaldo (Baterías BESS). Además, se considera una línea eléctrica de alta tensión de 220 kV, de simple circuito, entre la Subestación Bellavista, ubicada en el Área del Parque Solar, y la Subestación Punta Sierra 220 kV existente. La vida útil del Proyecto se estima en 35 años. ObjetivoEl objetivo del Proyecto Solar Bellavista de Punitaqui es la generación eléctrica a partir de la radiación solar, por medio de la construcción y operación de infraestructura eléctrica y de equipamiento con una potencia instalada de 374 MW, que permitirá aprovechar el recurso solar de la Región de Coquimbo para generar energía limpia y sustentable, que será incorporada al Sistema Eléctrico Nacional (SEN), a fin de ayudar a satisfacer la demanda energética del país, en especial de energía verde por medio de proyectos sustentables del tipo Energía Renovable No Convencional (ERNC). Dentro de estos proyectos se considera la utilización de esta energía renovable para la producción de hidrógeno verde en la zona.";"2021"
92;"Aumento de Capacidad PTAS Chimbarongo";"DIA";"Sexta";"o4";"ESSBIO S.A.";"378,8723";"25/01/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149574533";"2149574533";NA;NA;NA;"No Admitido a Tramitación";4;0;0;"Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2.500 habitantes";"Descripción breve del proyecto

El presente proyecto es sometido al Sistema de Evaluación Ambiental, mediante una Declaración de Impacto Ambiental (DIA), que se enmarca en la modalidad de una modificación de proyecto.
Teniendo en cuenta lo anterior y para mejor entendimiento, el proyecto “Aumento de Capacidad PTAS Chimbarongo”, modifica un proyecto existente que cuenta con resolución de calificación ambiental favorable N°154/2015. No obstante lo anterior, tal como señala el Artículo 12 del RSEIA, la calificación deberá recaer en la modificación, aun cuando la evaluación ambiental considerará la suma de los impactos provocados por la modificación y aquellos relacionados a la condición basal del proyecto existente.
La modificación considerada en la presente Declaración de Impacto Ambiental (DIA) tiene relación con el aumento de la capacidad de tratamiento de la actual PTAS mediante obras que permitan su operación y cumplimiento normativo proyectado al año 2034.
La actual PTAS de Chimbarongo corresponde a una planta de tratamiento secundario en base a un proceso lodos activados de flujo continuo y cultivo suspendido. 
El tratamiento biológico está compuesto por dos reactores aeróbicos en paralelo y el sedimentador secundario.  En las figuras siguientes se presenta el esquema de los procesos existentes y el de la configuración de la planta.

Figura 3.1 Esquema del proceso existente PTAS Chimbarongo
 

Figura 3.2 Esquema de la configuración existente en la PTAS Chimbarongo
 
De acuerdo a lo obtenido de datos de diseño, para el año 2020 la planta emite un caudal medio de 38 l/s como promedio anual, siendo 41.9 l/s el medio de verano y 34.3 l/s el medio de invierno. Por otra parte, para el año 2034, se proyecta un caudal medio anual de 50.1 l/s, un caudal medio de verano de 56 l/s y un caudal medio de invierno de 44.6 l/s, para una población proyectada en 22897 habitantes.
Teniendo en cuenta lo anterior, en términos generales, las obras de ampliación se llevarán a cabo en dos subfases y cada una considera lo siguiente:
Subfase I (proyectada para el segundo semestre del año 2021)
·        Reemplazo de equipo del pretratamiento existente, por uno de mayor capacidad. Además, se mejorará la estructura del galpón que contiene al pretratamiento existente.
·        Un segundo sedimentador secundario, de las mismas dimensiones del existente (diámetro de 18,5 m), para una condición de IVL conservadora de aproximadamente 150 ml/gr.
·        Conexión de los dos sedimentadores a un punto antes de la cámara del medidor de caudal existente. 
·        Aumento de capacidad del sistema de cloración, pasando de cilindros a contenedores.
·        Segunda cámara de contacto, de volumen idéntico a la existente, para satisfacer la desinfección hasta el final del periodo de previsión.
·        Una planta elevadora de recirculación y de purga (RAS/WAS) nueva, la cual operará en forma unitaria para las dos líneas de tratamiento. Se tendrá, por lo tanto, una única impulsión RAS y una única línea de purga al espesador existente.  La sentina de la PE WAS RAS opera como vaso comunicante entre los dos sedimentadores, por lo tanto, hay obligación de igualar los pelos de agua del sedimentador proyectado con el existente.
·        Reemplazo del sistema de deshidratado de filtro banda a una centrifuga.
 
Subfase II (proyectada para el segundo semestre del año 2030)
·        Plataforma de las nuevas unidades proyectadas en la zona de la antigua laguna de estabilización.
·        Intersección del agua servida en el colector elevado que llega a la PTAS y derivación al galpón de tratamiento preliminar.
·        Galpón de desbaste grueso:
ü  Una reja mecánica gruesa de 25 mm de espaciamiento con by-pass hidráulico
ü  Un equipo lavador de sólidos tipo Wash Press
·        Nueva planta elevadora de cabecera para la PTAS ampliada, en reemplazo de la planta elevadora existente.
·        Galpón de tratamiento preliminar para albergar las siguientes unidades:
ü  Cámara repartidora a equipos de pretratamiento
ü  Dos equipos de tratamiento compacto con desbaste fino, desarenador, desengrasador y lavado de desbaste y arenas
·        Medidor de caudal afluente mediante canaleta Parshall 
·        Una cámara de repartición para la nueva línea de tratamiento proyectada y para los dos reactores existentes. 
·        Incorporación de un tercer reactor que operará en paralelo con los dos reactores biológicos existentes. La nueva línea está compuesta por un reactor aeróbico con el mismo volumen que tienes los dos reactores existentes (volumen de 2.469 m3 cada uno), diseñado para una concentración de 3.000 mg/l de SSLM y una edad del lodo resultante de aproximadamente 9 días en el sistema conjunto. El reactor se diseña en hormigón armado. Cabe mencionar que este reactor se construirá a contar del segundo semestre del año 2030, en la segunda subfase del presente proyecto.
 
La figura siguiente presenta el diagrama general de las obras de ampliación. Las obras proyectadas se dibujan en rojo.




Figura 3.3 Esquema de las obras de ampliación




Figura 3.4 Ubicación de las obras de ampliación dentro de la PTAS Chimbarongo 


En la imagen anterior, se aprecian en verde las obras de mejoramiento y en rojo las de ampliación.
Cabe destacar que la descarga (efluente) seguirá realizándose al Estero Los Canales o El Molino cumpliendo en todo momento con lo establecido en el D.S. N°90/00, Tabla N°1 y respecto de los lodos que se generen, cumplirá con lo dispuesto en el D.S. N°4/09, Reglamento para el Manejo de Lodos generados en Plantas de Tratamiento de Aguas Servidas.
Respecto de su ubicación, el Proyecto se localiza al oeste de la ruta I-86 (calle Miraflores) y con acceso desde la calle Las Cuadras, en la ciudad de Chimbarongo, tal como se aprecia en la siguiente figura.

Figura 3.5 Ubicación del proyecto 
 
De acuerdo con lo indicado en el Artículo 19 del RSEIA D.S. N°40/2013 en el literal a) específicamente en los literales a.5, a.6 y a.7 se definen las distintas fases que deben describirse en los proyectos, es decir Fase de Construcción, Fase de Operación y Fase de Cierre cuando corresponda. 
En este caso específico, el Proyecto considera sólo dos fases debido a su naturaleza que permite una vida útil indefinida, haciendo los recambios y mantenciones necesarios para no llevar a cabo una fase de cierre. 
A continuación, se describe brevemente cada una de las fases del proyecto que se presenta a evaluación.
Fase de construcción: Por las características constructivas del presente proyecto, esta fase se irá materializando en la medida que se construyan sus diferentes subfases, así entonces, la extensión temporal se estima como sigue:
Tabla 3.1 Extensión fase de construcción


            Subfases
            
            
            Año Inicio
            
            
            Extensión (meses)
            
        
            Subfase I
            
            
            2° semestre año 2021
            
            
            10 meses
            
        
            Subfase II
            
            
            2° semestre año 2030
            
            
            10 meses
            
        
 
Fase de operación: Respecto de esta fase, comenzará una vez se termine de construir la subfase I del Proyecto, posteriormente, una vez se materialice la subfase II, se incorporará a la operación general de la PTAS el tercer reactor biológico. Así entonces, se estima que la subfase I de la operación comience durante el segundo semestre del año 2022Objetivo 
Objetivo General del Proyecto
El objetivo del proyecto “Aumento de Capacidad PTAS Chimbarongo”, en adelante “el proyecto”, consiste en ampliar la capacidad de tratamiento de aguas servidas de la actual PTAS a través de la incorporación de una nueva línea de tratamiento biológico con un tercer reactor en paralelo a los existentes, además de otras obras que permitirán satisfacer la demanda del servicio de tratamiento de aguas servidas de la población de la ciudad de Chimbarongo al año 2034.
Cabe mencionar, que la ampliación de la PTAS se llevará a cabo en dos subfases, la primera a ejecutarse durante el año 2021 (o una vez obtenida la RCA favorable) y la segunda durante el 2030. Se debe dejar claro que mientras se construye la ampliación de la PTAS, la población seguirá siendo servida normalmente y sin interrupciones.";"2021"
93;"Planta Fotovoltaica Agrovisión";"DIA";"Décimosexta";"c";"MVC SOLAR 11 SPA";"11,0000";"25/01/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149738826";"2149738826";NA;NA;NA;"No Admitido a Tramitación";4;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Fotovoltaico Agrovisión corresponde a un proyecto nuevo consistente en la construcción y operación de un parque solar fotovoltaico, con conexión a red de 9 MWca de potencia en el punto de interconexión.
 
La potencia nominal es de 10.532.160 Wp, con un total de 22.896 módulos fotovoltaicos monocristalinos bifaciales de 460 Wp o similares. La planta fotovoltaica está basada en un diseño de bloque modular de 4,6 MWca, existiendo en total 2 bloques. Cada uno de los bloques consiste en un inversor central de al menos 4.600 kWca. La red de media tensión se conectará a través de líneas subterráneas de 13,2 kV hasta el punto de conexión, poste placa 5-024113 (Coordenada UTM WGS84: 284710,00 E, 6046530,00 N, Uso 19H). Objetivo 
El proyecto “PLANTA FOTOVOLTAICA AGROVISIÓN” tiene por objeto satisfacer la creciente demanda energética, aprovechando el potencial solar de la Región del Biobío. El proyecto contempla la construcción, operación y cierre de un Parque Fotovoltaico, de potencia nominal igual a 9 MW, con la finalidad de generar energía eléctrica. Esta potencia se alcanzará mediante la instalación de 22.896 módulos fotovoltaicos policristalinos de 460 Wp o similares. Estos irán conectados a 2 inversores de 4.600 kWca, resultando en una potencia neta a inyectar al sistema de 9 MW.";"2021"
94;"Parque Fotovoltaico Rengo Solar";"DIA";"Sexta";"c";"Rengo Solar SpA";"10,0000";"25/01/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149739307";"2149739307";NA;NA;NA;"No Admitido a Tramitación";4;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la construcción y operación de un parque solar fotovoltaico para la generación de energía eléctrica que se ubicará en la Comuna de Rengo, Provincia de Cachapoal, Región del Libertador General Bernardo O´Higgins. 
El Proyecto estará conformado por 28.392 paneles fotovoltaicos bifaciales. Los módulos irán conectados a 2 centros de transformación y 56 inversores. El parque solar fotovoltaico tendrá 9 MW de potencia inyectada y de 14,196 MW de potencia instalada. Contará con una línea de media tensión soterrada al interior del proyecto y aérea en el punto de conexión, donde se inyectará la energía en el Sistema Eléctrico Nacional (SEN). Dicha línea aérea tendrá una extensión de 400 m, y transcurre por la comuna de Rengo. ObjetivoEl objetivo del Proyecto es producir e inyectar al SEN aproximadamente 25 GWh anuales de energía renovable no convencional (ERNC), mediante el aprovechamiento de la energía solar por medio de 28.392 paneles solares, con una capacidad total instalada de hasta 14,196 MW. Con ello se pretende potenciar el aprovechamiento de recursos naturales de la zona para la producción de energía limpia, a partir de una fuente renovable e inagotable.

Lo anterior, considerando la creciente demanda que existe respecto de este insumo para la economía y en línea con Energía 2050: Política Energética de Chile.";"2021"
95;"Construcción Relleno Sanitario de Chile Chico";"EIA";"Undécima";"o5";"Municipalidad de Chile Chico";"7,4822";"25/01/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149375527";"2149375527";NA;NA;NA;"No Admitido a Tramitación";6;0;0;"Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia y centros de acopio y clasificación que atiendan a una población igual o mayor a 5.000 habitantes";"El Proyecto de “Construcción de Relleno Sanitario de Chile Chico” se somete a evaluación ambiental considerando las partes, obras y acciones asociadas a este proyecto sanitario según lo determinado por el Título III del D.S. 189, que incluye las fases de Construcción, Operación y Cierre y Abandono, tal como se establece en el literal c) del artículo 18 del D.S Nº40 Reglamento del Sistema de Evaluación de Impacto Ambiental, que se refiere a los contenidos mínimos de los Estudios de Impacto Ambiental.
Se contempla construir el nuevo Relleno Sanitario que dará disposición final a todos los residuos domiciliarios y asimilables de Chile Chico Urbano, sector Chacras y Bahía Jara. Para esto se considera construir la infraestructura necesaria de acuerdo a normativa para atender el requerimiento proyectado para la vida útil del proyecto. Una vez construido el Relleno será operado por el titular, quien deberá resguardar que se cumpla lo descrito en la RCA obtenida como también la respectiva normativa aplicable (D.S.189/2005 del MINSAL). Una vez efectuada la Operación durante la vida útil del proyecto se realizará el proceso de Cierre y Abandono Definitivo de Obras, dejando las instalaciones fuera de Operación por el tiempo que dictamine el Plan de Cierre y Abandono, el cual considera la recuperación del área intervenida por el proyecto, integrándola nuevamente a su entorno natural, que se encuentra inserto dentro del Sitio Prioritario para la Conservación de la Biodiversidad “Estepa Jeinimeni – Lagunas Bahía Jara” y a la Zona de Interés Turístico Chelenko, en el marco del “Plan de gestión de residuos sólidos municipales 2015-2035 de la Región de Aysén”, elaborado por el Gobierno Regional de Aysén.
Una vez que las instalaciones se encuentren terminadas y operativas, y luego de haber realizado y aprobado todas las pruebas previas a la puesta en marcha de las instalaciones, se dará inicio a la Operación del Relleno Sanitario, comenzando con la disposición final de RSDA de la población a servir en las Celdas de Disposición, la disposición de Lodos de la PTAS local en la Celda Mono Residuos especialmente habilitada para aquello, y en definitiva todo el manejo necesario para desarrollar el correcto Mantenimiento del proyecto, y un efectivo Control y Monitoreo de las Variables Ambientales Aplicables a un recinto de esta envergadura. Esta fase considera una duración de 25 años, luego de los cuales se alcanzará la capacidad máxima de volumen disponible en las 7 Celdas de Disposición más la Celda Mono residuos, dando comienzo a la etapa de Cierre y Abandono final.
Una vez que se cumpla la vida útil del proyecto, y este no pueda dar disposición final a los RSDA de su población a servir, el municipio deberá haber habilitado y tramitado las Autorizaciones Ambientales, Sanitarias y Sectoriales necesarias para dar sustento a un nuevo Relleno Sanitario que permita dar continuidad a la Disposición de Residuos de los habitantes de las localidades a servir. Cumplido lo anterior, se efectuará el Cierre y Abandono definitivo de la infraestructura, para la cual se considera efectuar el Cierre de la Celda N°7 en conjunto con la Celda de Lodos y las Piscinas de Evapotranspiración, reconstruyendo de la manera más homologa posible la geografía del terreno.
El alcance de este proyecto sometido a Evaluación Ambiental considera las partes, obras y acciones para la Construcción del Relleno Sanitario de Chile Chico, con objetivo de dotar de un lugar que cumpla con la Normativa Ambiental Vigente para la disposición final de residuos sólidos domiciliarios y asimilables de las localidades de Chile Chico Urbano, sector Chacras y Bahía Jara. ObjetivoEl objetivo general del proyecto consiste en brindar a los habitantes de las localidades de Chile Chico Urbano, sector Chacras y Bahía Jara, una solución a la disposición final de los Residuos Sólidos Domiciliarios y Asimilables generados por las distintas actividades que desarrolla la comunidad, que se ajuste a la Normativa Ambiental Vigente, y que a la vez se adapte respetuosamente al territorio e integre en su planificación la Identidad Local.";"2021"
96;"PRADOS DE SANTA CLARA";"DIA";"Sexta";"h1";"INMOBILIARIA SOCOVESA SANTIAGO S.A.";"35,0000";"25/01/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149640914";"2149640914";NA;NA;NA;"En Calificación";34;0;0;"Proyectos inmobiliarios";"El proyecto inmobiliario “Prados de Santa Clara” consiste en un conjunto de edificios con destino habitacional, ubicado en un área urbana de la comuna de Rancagua, específicamente en calle Estrella Azul 2294. El terreno colinda con Avenida Circunvalación Poniente, con calle Bosque de Santa Clara y con calle Estrella Azul.    
Se emplaza en un terreno de 84.775 m2 (8,47 hectáreas) cercano al Aeródromo de la Independencia y contempla la urbanización del terreno, compuesto por 5 lotes; además de la construcción de: 14 edificios de cinco pisos, 698 departamentos, 112 bodegas, porterías (control de acceso), cinco locales comerciales, áreas deportivas, vialidad y áreas verdes internas; además de áreas verdes y equipamiento que serán cedidos como Bien Nacional de Uso Público (BNUP). Todo lo anterior en cinco etapas constructivas.
Las viviendas tendrán diferentes modelos de entre 56,8 m2 y 61,4 m2. Uno de estos modelos está diseñado especialmente para personas con movilidad reducida (el modelo denominado “Tipología Accesible”).
El Proyecto contempla la integración de viviendas sociales, destinadas a sectores vulnerables de la población y se está desarrollado en el marco del Programa de Integración Social del D.S. N° 19/2016, del Ministerio de Vivienda, cumpliendo con la totalidad de lo estipulado en este decreto; habiéndose aprobado para los lotes 2 y 3 la postulación en el SERVIU de la región de O´Higgins, según consta en Resolución N°1294, de 31 de agosto de 2020 adjunta en Anexo A. El Proyecto incluye un 100 % de viviendas con subsidios de distinta magnitud, donde el 20 % de las viviendas está exclusivamente destinado a población vulnerable, con viviendas con subsidio estatal cercano al 100 % del valor.
Las cinco etapas constructivas se desarrollarán de acuerdo a lo siguiente: el primer lote en construirse será el lote 2, con 3 edificios y 149 departamentos; posteriormente el lote 3, con 4 edificios y 199 departamentos; seguidamente el lote 5, con 2 edificios y 100 departamentos; luego el lote 4, también con 2 edificios y 100 departamentos; y finalmente el lote 1, con 3 edificios y 150 departamentos.
El inicio de las obras de construcción está planificado para junio del año 2021 y, dado que el Proyecto contempla varias etapas constructivas, se producirá traslape entre la fase de construcción y la fase de operación, ya que la operación de la primera etapa comenzará en enero de 2023, fecha en la que se estará construyendo la segunda etapa, y así sucesivamente, hasta que termine la construcción de la última etapa, en junio de 2026.
El proyecto considera la urbanización del terreno, que incluye alcantarillado, sistema de agua potable, sistema de aguas lluvias, electricidad, vialidad, áreas verdes y equipamiento; para la construcción de los edificios, se realizará la preparación del terreno, la construcción de fundaciones, obra gruesa y terminaciones.

Las viviendas cumplirán con las exigencias establecidas en la OGUC y con los estándares de aislación térmica, de acuerdo al Plan de Descontaminación Atmosférica del Valle Central de la Región del Libertador Bernardo O’Higgins (D.S. N°15/2013, del Ministerio del Medio Ambiente). ObjetivoEl objetivo del Proyecto es aportar a la disponibilidad de viviendas en la comuna de Rancagua, mediante la construcción de un conjunto de viviendas y sus respectivas obras de urbanización, en un terreno urbano, de acuerdo a los requisitos del Programa de Integración Social y Territorial establecidos en el D.S. N°19/2016, del Ministerio de Vivienda y Urbanismo.";"2021"
